0	1.70959	-10	0.128479	0.0927734	1.71234	
0.001	1.7334	-10	0.10437	0.0900269	1.77917	
0.002	1.69678	-9.83673	0.072937	0.0921631	1.77826	
0.003	1.69922	-9.39301	0.0289917	0.090332	1.70135	
0.004	1.79962	-8.94989	-0.0265503	0.0906372	1.55579	
0.005	1.80389	-8.61572	-0.0665283	0.0900269	1.37177	
0.006	1.7865	-8.38013	-0.103455	0.0900269	1.18835	
0.007	1.77643	-8.29529	-0.122681	0.0897217	1.0257	
0.008	1.78192	-8.38898	-0.119934	0.088501	0.901794	
0.009	1.80847	-8.65936	-0.102844	0.0927734	0.817566	
0.01	1.81366	-8.99139	-0.071106	0.0933838	0.795898	
0.011	1.82312	-9.45801	-0.0302124	0.0912476	0.846558	
0.012	1.80908	-9.8877	0.0134277	0.0909424	0.974731	
0.013	2.00378	-10	0.0421143	0.0909424	1.15265	
0.014	1.97357	-10	0.0778198	0.0906372	1.34125	
0.015	2.00684	-10	0.102539	0.0927734	1.50543	
0.016	1.99219	-10	0.110474	0.0918579	1.64093	
0.017	1.98029	-10	0.151672	0.0952148	1.74561	
0.018	1.97235	-10	0.121765	0.0942993	1.80054	
0.019	2.01172	-9.68201	0.0604248	0.0970459	1.77185	
0.02	1.93756	-9.26208	0.0112915	0.0967407	1.65649	
0.021	1.9754	-8.82233	-0.043335	0.0942993	1.4801	
0.022	1.98395	-8.53302	-0.0796509	0.0949097	1.28387	
0.023	1.97784	-8.33557	-0.114441	0.0927734	1.10504	
0.024	2.00287	-8.29132	-0.121765	0.0949097	0.960693	
0.025	1.99677	-8.45856	-0.117188	0.0946045	0.85083	
0.026	2.00256	-8.78052	-0.102539	0.093689	0.784607	
0.027	1.94794	-9.14825	-0.062561	0.0946045	0.787659	
0.028	1.96045	-9.58374	-0.0216675	0.0985718	0.871582	
0.029	1.98029	-10	0.0283813	0.0982666	1.03088	
0.03	1.81335	-10	0.0775146	0.0976562	1.22345	
0.031	1.95465	-10	0.11261	0.100098	1.40808	
0.032	1.96381	-10	0.136719	0.098877	1.56036	
0.033	1.97083	-10	0.133667	0.100098	1.67908	
0.034	1.9809	-10	0.118713	0.0994873	1.76025	
0.035	1.97083	-10	0.0894165	0.100098	1.78223	
0.036	1.98029	-9.52087	0.0363159	0.101929	1.72852	
0.037	1.96716	-9.08752	-0.0088501	0.100098	1.5976	
0.038	1.97266	-8.70178	-0.0540161	0.0958252	1.41907	
0.039	1.98181	-8.4436	-0.0927734	0.0964355	1.2326	
0.04	2.00409	-8.29987	-0.120239	0.0964355	1.06598	
0.041	1.97144	-8.3374	-0.122375	0.0958252	0.931702	
0.042	1.97571	-8.57025	-0.124512	0.100098	0.831604	
0.043	1.98059	-8.88702	-0.0842285	0.0973511	0.787659	
0.044	1.97174	-9.29993	-0.0500488	0.098877	0.820007	
0.045	1.96136	-9.75342	-0.00854492	0.100708	0.932617	
0.046	1.96014	-10	0.0469971	0.101013	1.10046	
0.047	1.9751	-10	0.0805664	0.0994873	1.28723	
0.048	1.96625	-10	0.117188	0.100098	1.45905	
0.049	1.97021	-10	0.133362	0.09552	1.60156	
0.05	1.98792	-10	0.135193	0.0967407	1.71265	
0.051	1.87469	-10	0.102234	0.0952148	1.7807	
0.052	1.90674	-9.83978	0.0665283	0.0982666	1.77856	
0.053	1.88263	-9.39392	0.0219727	0.0939941	1.69769	
0.054	1.89728	-8.94257	-0.0268555	0.0976562	1.54602	
0.055	1.89819	-8.59924	-0.0723267	0.0976562	1.3559	
0.056	1.90765	-8.38562	-0.106201	0.0976562	1.17096	
0.057	1.96686	-8.28522	-0.129089	0.0970459	1.01257	
0.058	1.97479	-8.40881	-0.128174	0.0906372	0.890198	
